[2026-09-18T09:11:21.869+00:00] PID:2445613 CPU:NA% RSS_KIB:1920 MEM:0.01207% STATE:D THREADS:1 WCHAN:0
[2026-09-18T09:11:21.972+00:00] PID:2445613 CPU:38.96% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:21.972+00:00] PID:2445628 CPU:NA% RSS_KIB:6656 MEM:0.04186% STATE:R THREADS:1 WCHAN:0
[2026-09-18T09:11:22.074+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.075+00:00] PID:2445628 CPU:29.18% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.177+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.178+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.280+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.280+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.382+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.383+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.484+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.485+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.586+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.587+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.688+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.689+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.791+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.792+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.893+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.894+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:22.995+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:22.996+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.097+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.097+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.199+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.199+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.301+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.302+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.403+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.404+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.506+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.506+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.608+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.608+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.710+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.710+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.812+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.812+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:23.914+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:23.915+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.017+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.017+00:00] PID:2445628 CPU:0.00% RSS_KIB:17664 MEM:0.11108% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.120+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.120+00:00] PID:2445628 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.222+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.222+00:00] PID:2445628 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.324+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.324+00:00] PID:2445628 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.427+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.427+00:00] PID:2445628 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.529+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.529+00:00] PID:2445628 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:11:24.631+00:00] PID:2445613 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:11:24.632+00:00] PID:2445628 CPU:0.00% RSS_KIB:17792 MEM:0.11189% STATE:S THREADS:1 WCHAN:do_select
