[2026-09-18T09:07:27.351+00:00] PID:2441509 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:27.853+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:27.854+00:00] PID:2441509 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:28.356+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:28.356+00:00] PID:2441509 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:28.858+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:28.859+00:00] PID:2441509 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:29.361+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:29.361+00:00] PID:2441509 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:29.863+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:29.864+00:00] PID:2441509 CPU:3.98% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:30.366+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:30.366+00:00] PID:2441509 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:30.868+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:30.869+00:00] PID:2441509 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:31.371+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:31.372+00:00] PID:2441509 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:31.874+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:31.874+00:00] PID:2441509 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:32.376+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:32.377+00:00] PID:2441509 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:32.879+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:32.880+00:00] PID:2441509 CPU:3.98% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:33.382+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:33.382+00:00] PID:2441509 CPU:1.99% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:33.885+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:33.886+00:00] PID:2441509 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:34.388+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:34.388+00:00] PID:2441509 CPU:0.00% RSS_KIB:146048 MEM:0.91843% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:07:34.890+00:00] PID:2441496 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
