[2026-09-18T09:06:53.721+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:53.722+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:54.224+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:54.224+00:00] PID:2440969 CPU:0.00% RSS_KIB:94704 MEM:0.59555% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:54.727+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:54.727+00:00] PID:2440969 CPU:5.97% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:55.229+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:55.230+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:55.732+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:55.732+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:56.235+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:56.236+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:56.738+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:56.739+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:57.242+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:57.242+00:00] PID:2440969 CPU:0.00% RSS_KIB:120304 MEM:0.75654% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:57.744+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:57.745+00:00] PID:2440969 CPU:1.99% RSS_KIB:145776 MEM:0.91672% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:58.247+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:58.248+00:00] PID:2440969 CPU:0.00% RSS_KIB:145776 MEM:0.91672% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:58.750+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:58.750+00:00] PID:2440969 CPU:0.00% RSS_KIB:145776 MEM:0.91672% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:59.252+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:59.253+00:00] PID:2440969 CPU:0.00% RSS_KIB:145776 MEM:0.91672% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:06:59.755+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:06:59.756+00:00] PID:2440969 CPU:0.00% RSS_KIB:145776 MEM:0.91672% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:00.258+00:00] PID:2440962 CPU:0.00% RSS_KIB:2048 MEM:0.01288% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:07:00.259+00:00] PID:2440969 CPU:0.00% RSS_KIB:145776 MEM:0.91672% STATE:S THREADS:1 WCHAN:do_select
[2026-09-18T09:07:00.761+00:00] EVENT:PROCESS_EXITED
