[2026-09-18T09:17:23.358+00:00] PID:2451259 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:23.860+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:23.860+00:00] PID:2451259 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:24.363+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:24.363+00:00] PID:2451259 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:24.865+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:24.866+00:00] PID:2451259 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:25.368+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:25.368+00:00] PID:2451259 CPU:0.00% RSS_KIB:94848 MEM:0.59646% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:25.871+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
[2026-09-18T09:17:25.871+00:00] PID:2451259 CPU:0.00% RSS_KIB:120448 MEM:0.75744% STATE:S THREADS:3 WCHAN:futex_wait_queue
[2026-09-18T09:17:26.373+00:00] PID:2451248 CPU:0.00% RSS_KIB:1920 MEM:0.01207% STATE:S THREADS:1 WCHAN:do_wait
